Equity,Bonds,Gold,XIRR,Volatility,Sharpe,Max drawdown,Worst wealth drop
0.2,0.0,0.8,0.1323539128764539,0.10623855885096463,1.1728564098579564,-0.11248564506911085,-0.11017968124457478
0.2,0.1,0.7,0.1314667744301412,0.09733760960303749,1.2904347476182798,-0.09407675871264731,-0.0932619915085181
0.2,0.2,0.6,0.13041425774496668,0.08953497512035773,1.4127441667385987,-0.0893301844760237,-0.08855166518276958
0.2,0.3,0.5,0.12917641641719363,0.08315057060572704,1.5303582042291008,-0.08723739235300054,-0.08416510565716018
0.2,0.4,0.4,0.12773344597596087,0.07855050574161991,1.6281121077007794,-0.08821672389647428,-0.08539536511531864
0.2,0.5,0.3,0.1260637937522651,0.07608919184521495,1.6875710897168295,-0.08920453557125052,-0.08661108266442441
0.2,0.6,0.2,0.12414698819147806,0.07601525392013517,1.6944061353840272,-0.09020094370470566,-0.08781440251029182
0.2,0.7,0.1,0.12196030132918205,0.07838590387142991,1.646619266917836,-0.09527997282978251,-0.09437004278979555
0.2,0.8,0.0,0.11947649327627838,0.08305129240868081,1.5558290612268082,-0.10715449504074903,-0.10626888751046659
0.3,0.0,0.7,0.1383232638924871,0.09764038228238936,1.3468592198683518,-0.10153191958820107,-0.09958036797650904
0.3,0.1,0.6,0.1373914329617271,0.08969715512265256,1.4762759247793908,-0.08249639781418983,-0.08100137939768326
0.3,0.2,0.5,0.13627455318751364,0.08313148822925177,1.6023840642275176,-0.08344585008820482,-0.0804800172679434
0.3,0.3,0.4,0.13495340074745027,0.07830979985250218,1.7096326373297048,-0.08458339535901316,-0.08167957054950703
0.3,0.4,0.3,0.13340842696539426,0.07559604960078684,1.778335477019164,-0.08630645131971748,-0.08286515905256375
0.3,0.5,0.2,0.1316200690735705,0.07525851205992282,1.7921024838782391,-0.08810987207508214,-0.08411522757487766
0.3,0.6,0.1,0.12956508485429358,0.07737781044850113,1.7470803575265825,-0.09678053108951701,-0.09601690925416873
0.3,0.7,0.0,0.12722092471665172,0.08182168919222872,1.6545241807572553,-0.10865470730429272,-0.10791355551099557
0.4,0.0,0.6,0.1439674711979225,0.09199140854607749,1.5023858263277758,-0.11184285968942831,-0.11011290006576524
0.4,0.1,0.5,0.14297062209703032,0.08540707191181142,1.6278709961929514,-0.10911102477163404,-0.08290219716906144
0.4,0.2,0.4,0.1417702242962972,0.08050426440551092,1.7358244559194083,-0.1111838844537949,-0.08204083853257405
0.4,0.3,0.3,0.14034819916400224,0.07763004597783647,1.807753570485757,-0.11334832189507338,-0.08463264699427142
0.4,0.4,0.2,0.1386840856910618,0.07704984038268314,1.8275775657475046,-0.11560954312921701,-0.08730096620978389
0.4,0.5,0.1,0.13675829548093954,0.07886155576237817,1.7901717510330497,-0.12165236054743767,-0.09762116817187216
0.4,0.6,0.0,0.13454917974674305,0.08296464091529679,1.70455479066033,-0.1283159906029564,-0.11002546896971566
0.5,0.0,0.5,0.1492575154236324,0.08982081372956421,1.6111686226729707,-0.13370088738197872,-0.12124366764236016
0.5,0.1,0.4,0.14817855611356326,0.08496017541031661,1.712180560889994,-0.13614115472058896,-0.10852963977198105
0.5,0.2,0.3,0.14687840030003996,0.08201489472883293,1.7814483080863364,-0.13868546521044123,-0.1115116910542655
0.5,0.3,0.2,0.14533846004679063,0.08122852722181874,1.8051582342236367,-0.14203415728213398,-0.11458460456954067
0.5,0.4,0.1,0.1435401802661814,0.0827066599665528,1.7778690398888104,-0.14872371174179277,-0.11775416047801868
0.5,0.5,0.0,0.14146326499034736,0.08638550670706141,1.7055816836692168,-0.1556855194553296,-0.12102676700795545
0.6,0.0,0.4,0.15416624708409699,0.09137753292205084,1.6530692482693514,-0.16190941941007675,-0.14697717825691292
0.6,0.1,0.3,0.15299026023166554,0.08842849652093009,1.715955279590875,-0.1624751210227744,-0.1378459477398083
0.6,0.2,0.2,0.15157596809641047,0.08747633393891792,1.7412142109014985,-0.16714283925363138,-0.14012947370711282
0.6,0.3,0.1,0.1499052298631854,0.08862535750504034,1.723882988426416,-0.17407382904185975,-0.1436560756700882
0.6,0.4,0.0,0.14795952059575024,0.09184469982389291,1.6672975783106918,-0.18127859750062014,-0.14777064837513454
0.7,0.0,0.3,0.15866777592457487,0.09650906386874833,1.6291912756433025,-0.21778121994274702,-0.20643257745242882
0.7,0.1,0.2,0.15738241913228382,0.09542560319896153,1.6543004817317393,-0.20754935518337403,-0.19745876442222543
0.7,0.2,0.1,0.1558419302940735,0.09626942735154957,1.6452281900246424,-0.20516998513325335,-0.19504037015097642
0.7,0.3,0.0,0.15402841619126467,0.09903445215991398,1.6034633138824341,-0.20526366408664365,-0.1964516864211142
0.8,0.0,0.2,0.16273664032573307,0.10474210156144156,1.5587300624993843,-0.27285023427275434,-0.2628934365109422
0.8,0.1,0.1,0.1613317989338766,0.10531134366192764,1.5558668634119255,-0.27065290042875145,-0.26181240968135355
0.8,0.2,0.0,0.15965393216800136,0.10765101333197949,1.5264895904715288,-0.2706387966537832,-0.2629533460225575
0.9,0.0,0.1,0.1663468394652388,0.11548559086591086,1.4648092999573152,-0.33237954719346796,-0.3246577325119888
0.9,0.1,0.0,0.16481242141920244,0.11743720796955269,1.4451434617228145,-0.3322807264102432,-0.32556714681810484
1.0,0.0,0.0,0.1694707491446084,0.12819741185804556,1.3646308430784424,-0.39030985931210915,-0.3844409502456564
