Date,Equity,Bonds,Gold
1994-06,0.14787133179803166,0.11595818203949931,0.09573208159536822
1994-07,0.14708112317498498,0.13977718288733165,0.09302042997187876
1994-08,0.14773972871321564,0.1334044777931022,0.09369899174399393
1994-09,0.10384661035843618,0.06420873608312509,0.09620977503810982
1994-10,0.10522558684263653,0.10563171770002437,0.08984237544563861
1994-11,0.1095589735086781,0.11539976482144898,0.07290223359434851
1994-12,0.10606986301383023,0.13512773490622312,0.08761984403645127
1995-01,0.09102730925086182,0.137706760321545,0.09771426463784227
1995-02,0.11065010993647835,0.1320966175899152,0.09603039080624581
1995-03,0.111941722077348,0.12622439508377548,0.0988254876298881
1995-04,0.096388767211436,0.04158738386731622,0.15373613106475725
1995-05,0.09898883614422947,0.06203698572362026,0.1692703612331284
1995-06,0.1217346413683674,0.08920962362846824,0.16860684839617018
1995-07,0.10395369317417723,0.09783297138896076,0.16860684839617018
1995-08,0.08852044064914769,0.06631642705996271,0.16860684839617018
1995-09,0.08716683142875936,0.11886200102440186,0.053893909204198856
1995-10,0.08921742882515696,0.10441607270683961,0.046808493630500964
1995-11,0.10575380979878632,0.09620836701691848,0.04621451788208097
1995-12,0.09375388858408858,0.045319167306971095,0.04621451788208097
1996-01,0.11720589607256886,0.056344501623600864,0.0617181530287209
1996-02,0.08840614721159551,0.05104428315133492,0.06240952429915962
1996-03,0.11034479018867117,0.07571122886401134,0.05295192915983749
1996-04,0.1092078987308129,0.12210076578279067,0.05219498271031045
1996-05,0.11125326454946027,0.10658397683542212,0.03252558574707087
1996-06,0.08056655205510113,0.13138130558661737,0.00017056591147122368
1996-07,0.117173989618541,0.1340239299261378,0.0044677201204484105
1996-08,0.09722198256766337,0.10065451777290856,0.03329564198425767
1996-09,0.10898525960147026,0.12275604702137075,0.006049606049356912
1996-10,0.10083675004945977,0.11935048688776836,0.033291471543156724
1996-11,0.12893664171404218,0.12518771758228997,0.05735740268073933
1996-12,0.12009432849655395,0.11919671994240888,0.03419739639105604
1997-01,0.14064133246779484,0.11965868575299402,0.04015213298735957
1997-02,0.14064133246779484,0.12565562625203425,0.04913907378756071
1997-03,0.121764104488191,0.11918868112205988,0.011602635288416409
1997-04,0.14026526861888539,0.12266327705881969,0.010974595807129933
1997-05,0.11755070148532562,0.11814730791939086,0.06962725898339339
1997-06,0.12041879906956922,0.11606216199378658,0.09753325564916158
1997-07,0.15907637225618207,0.1133868018971747,0.09816342855761169
1997-08,0.13709595909915567,0.11741615394010943,0.09396202589483563
1997-09,0.11266764584638461,0.11235329510447803,0.09753325564916158
1997-10,0.09592392973322164,0.11469977699598805,0.09816342855761169
1997-11,0.10581588121183735,0.11617944824948415,0.06495287718146105
1997-12,0.10231265377345906,0.11483515818062134,0.048160917845976765
1998-01,0.11597686493194194,0.09750701663799431,0.13982516880119542
1998-02,0.1090188440673656,0.09817596456470218,0.10849461625921913
1998-03,0.10898625850086213,0.09810344881367242,0.6211416675956223
1998-04,0.10412230799487707,0.09893316764097998,0.62906997936874
1998-05,0.09781882496664202,0.09963516872957973,0.62906997936874
1998-06,0.09752357267625801,0.0983674161040164,0.62906997936874
1998-07,0.1077955410079822,0.10265322275715912,0.62906997936874
1998-08,0.11140952988214864,0.11916205415623032,0.62906997936874
1998-09,0.1233011558804737,0.12899831918118604,0.32803188833605296
1998-10,0.12483197053102814,0.12899831918118604,0.10545847371878983
1998-11,0.15882612472643357,0.09060115933034871,-0.07554169019836063
1998-12,0.1642737436243544,0.06841439883693695,-0.07554169019836063
1999-01,0.14367088406453177,0.1115540387241091,-0.07612221380245965
1999-02,0.15715941444933235,0.12240115479817298,-0.07545958588917534
1999-03,0.15810799017342686,0.13002452243358284,-0.07980166442594451
1999-04,0.280445091509739,0.13535680164617056,-0.07980166442594451
1999-05,0.28914980656155853,0.13788429643719952,-0.13483722176384932
1999-06,0.15639695719658564,0.1395656582778982,-0.1472565282486083
1999-07,0.15639695719658564,0.1395656582778982,-0.13981316994376444
1999-08,0.1529897240300341,0.13596929551016543,-0.1420878308311873
1999-09,0.1523512155325194,0.1294732416954028,-0.06486145408099006
1999-10,0.08431668487082099,0.05192605328909972,-0.05917343526872623
1999-11,0.0792446912147251,0.12317859052207442,-0.06230379778731847
1999-12,0.07637486088180472,0.12629811359220358,0.07196645869958887
2000-01,0.08877206258848852,0.13080812948031148,-0.045580232014789245
2000-02,0.08854023807614009,0.05490744280472781,-0.05148056048586845
2000-03,0.09883720361043342,0.09259510123969422,-0.057454763994610795
2000-04,0.12112400818291676,0.12442307120384204,-0.05553712909589605
2000-05,0.09917416322812544,0.1024956690716987,-0.057408872034633456
2000-06,0.09824129814729832,0.03006136104854944,-0.03751555293128858
2000-07,0.08965036523539605,0.038167835804137046,-0.038510160325835326
2000-08,0.11956821207003722,0.041003456960934936,-0.02856084472715313
2000-09,0.09911849217088387,0.05104106080605351,-0.03200809087914927
2000-10,0.18367315961986042,0.1377196563168452,0.0007379077801339151
2000-11,0.1861945405658745,0.14126835937339519,0.004962198734300789
2000-12,0.20967186346849423,0.09303837358067683,0.011532701434799938
2001-01,0.19885824083868045,0.06710753516153614,0.015553998024570102
2001-02,0.1942283515511113,0.06869895903219439,0.015386419473167878
2001-03,0.19798030119576995,0.06839103376744186,0.011767305609335414
2001-04,0.19275423723646284,0.06958582332858386,0.012001516776029661
2001-05,0.1812727002529996,0.05398877925533026,0.010666402808489024
2001-06,0.17257982879453626,0.06968050877367639,0.025762023287996663
2001-07,0.17257982879453626,0.06968050877367639,0.021801145739363103
2001-08,0.1820196385727676,0.05486359143862513,0.03706140349785543
2001-09,0.18205973469538478,0.0410663222610874,0.01486647840596878
2001-10,0.1868309798175034,0.040974427189979484,0.012463812839232228
2001-11,0.18870819374022252,0.0410663222610874,0.010266192926429482
2001-12,0.19554564313166525,0.05478217100600597,-0.04931948617187519
2002-01,0.14547700854093648,0.07051967433992026,-0.05169304208473086
2002-02,0.16035866987933733,0.043332839944865385,-0.026596713118181948
2002-03,0.12719372138314877,0.04422335611443553,-0.06668019125432532
2002-04,0.14881201733099045,0.030236054686535535,-0.05027541761452068
2002-05,0.15875638693113386,0.034720285160896605,-0.018738736418318344
2002-06,0.16671618026473933,0.02657207373501206,0.014596585454870659
2002-07,0.17791902411525506,0.028951596184933988,0.022856910577552902
2002-08,0.17901068036901333,0.033794350535978235,0.027035183586037147
2002-09,0.17330980572124347,0.03217514084426432,0.04705382694389617
2002-10,0.17330980572124347,0.03564896367673226,0.055650727368100304
2002-11,0.16576961253938843,0.031318203048965355,0.05667570814074373
2002-12,0.16437387152553803,0.026434585319983696,0.05771932331887391
2003-01,0.1541225937674877,0.026215059045348044,0.12948573630914495
2003-02,0.155964883648892,0.02644932120633054,0.13017649601789313
2003-03,0.14717089252871016,0.028808149533944706,0.1295211100127304
2003-04,0.14309851723888178,0.04290963796918014,0.12104256700505124
2003-05,0.15089098697002787,0.030719433952926933,0.12730721574124218
2003-06,0.14785324793687532,0.03177182571433242,0.12327395421022869
2003-07,0.13879324789471573,0.017909169306317127,0.08144964427419682
2003-08,0.13804513146367553,0.013122232429444748,-0.020607325353165784
2003-09,0.13746666565472115,0.008563972563866396,-0.03015352578877422
2003-10,0.13465643879696637,0.007000674190520215,-0.03658635700415692
2003-11,0.1393752828339271,0.0038933396755489185,-0.004614022166600912
2003-12,0.13534877980549273,0.004291215394468582,-0.011213948678921726
2004-01,0.12655856393846363,0.027283647603975458,0.016673105557901753
2004-02,0.12762236857576412,0.04255769649118154,0.004243560253777918
2004-03,0.13643546090242878,0.016298631842637693,0.024006920390097754
2004-04,0.1334163034996593,0.01796549726566705,-0.046077781917162844
2004-05,0.14608337569628932,0.07718616209519412,-0.05923296876677717
2004-06,0.142967975496066,0.07094306002039569,-0.0446523973379901
2004-07,0.14305714809685502,0.052739257669900626,-0.015017331277062021
2004-08,0.14786123737142423,0.05320180933200605,0.04381492156351248
2004-09,0.15291430518087942,0.07908023837837062,0.03619410473370417
2004-10,0.1487016421973041,0.05901173423646113,0.0490882576801262
2004-11,0.14305714809685502,0.05212129945466757,0.04166537965112002
2004-12,0.1440673892909979,0.07130248467087769,0.02999748361412172
2005-01,0.153239932561896,0.0845391328060431,0.052608772279442835
2005-02,0.153239932561896,0.0845550679196911,0.05262665358865271
2005-03,0.153239932561896,0.08284230857081608,-0.018342377650710333
2005-04,0.14965299077653557,0.08402091316958836,0.05413327306022672
2005-05,0.14675393461926411,0.052497885883034195,0.112640635284006
2005-06,0.1496906206612215,0.04379681608006887,0.11683398064196096
2005-07,0.14337780459243382,0.07124981695817882,0.0976252079872023
2005-08,0.14211430336435465,0.0750406714124174,0.1651043938711621
2005-09,0.14211430336435465,0.055458675453838285,0.2131926474487119
2005-10,0.14675393461926411,0.05621361395906851,0.01663530649100873
2005-11,0.14621028811501605,0.07657191781471961,0.00993666299178237
2005-12,0.1440667040593912,0.055509102602874484,0.02370412725182157
2006-01,0.1356565827284584,0.04301851589181212,0.048698681662620744
2006-02,0.13797825073564973,0.04331564905997767,0.021748766283064675
2006-03,0.1356565827284584,0.0436825019463625,0.2037166739088449
2006-04,0.1298808238676904,0.027866307797929726,0.17286004679322126
2006-05,0.12861536018692077,0.02298275719188782,0.5590900767534261
2006-06,0.11354797597677802,0.025942439370081196,0.5557620826330677
2006-07,0.11354797597677802,0.025753424045306908,0.5557620826330677
2006-08,0.11446640037650255,0.023700335098255552,0.3045884923209389
2006-09,0.11526273893700126,0.022136149354687856,0.1333051155891575
2006-10,0.1118772944519479,0.019183485158962912,0.5026391835831333
2006-11,0.11131889797768904,0.01840263725180286,0.31520209171794106
2006-12,0.11131889797768904,0.019444203943744118,0.4805590448084024
2007-01,0.11224875024801133,0.027167621207324587,0.2894226851399016
2007-02,0.11224875024801133,0.02116857759095618,0.3552476087591023
2007-03,0.11224875024801133,0.024107044034493496,0.36518994439679553
2007-04,0.11282906154397193,0.01814389782891948,0.5842284945744336
2007-05,0.11377222988577174,0.0647933676092044,0.5882508087696755
2007-06,0.12791752150484237,0.04043901241148361,0.1870936555303038
2007-07,0.12932958162571453,0.05640850609852422,0.17273847495181738
2007-08,0.13137001229366027,0.05263242555848482,0.17807096900246783
2007-09,0.13783981702001036,0.02525507773163236,0.18594874190599267
2007-10,0.13373128332268908,0.021816568038785268,0.18594874190599267
2007-11,0.136173839306079,0.02349276517186099,0.1952288472979582
2007-12,0.1359900295481127,0.019350238401240224,0.1952288472979582
2008-01,0.1440499465231842,0.017063196573558793,0.19822941518027526
2008-02,0.14661072107103987,0.017063196573558793,0.19822941518027526
2008-03,0.15116690920088685,0.017576661185311405,0.19822941518027526
2008-04,0.13219881697280153,0.01682902636035229,0.19822941518027526
2008-05,0.13643725782334157,0.01822998467819783,0.13576449898057918
2008-06,0.1404948191062247,0.017533261023150264,0.13163843478687687
2008-07,0.13976754445890752,0.018042489966442688,0.1290586224847704
2008-08,0.13976754445890752,0.019428978485754943,0.11874601091127567
2008-09,0.14157652864546594,0.017236769294427044,0.12541961704231033
2008-10,0.14391829687587057,0.03491639946305824,0.11872649130189238
2008-11,0.14586542115208284,0.07305742395838685,0.1161174621289902
2008-12,0.15816519440229107,0.039496121808258594,0.10318949113864438
2009-01,0.13450153692267652,0.056258048901004776,0.08325902701717286
2009-02,0.13920926690877672,0.03986591170287188,0.07385013183756413
2009-03,0.13708636757093523,0.07120030416888101,0.08043390293018966
2009-04,0.13064820160473087,0.05718941750834099,0.08862475767509165
2009-05,0.13021948558610005,0.051020571965512934,0.08845724569425308
2009-06,0.13021948558610005,0.06011879865102175,0.09242547611862567
2009-07,0.13187621222674306,0.06473768052128342,0.08870300419271528
2009-08,0.12671629979097243,0.05486188073267798,0.09687330039784109
2009-09,0.12584505933893547,0.05487441874179618,0.09242601782504554
2009-10,0.10834953236413153,0.050771288325052524,0.1587920462705463
2009-11,0.0931226550075608,0.05570337188822956,0.1581317840995372
2009-12,0.11157470138531755,0.06032992077314812,0.07534833364905485
2010-01,0.02528710340437349,0.06459322989150068,0.08091115987145413
2010-02,0.03105907840874747,0.06550621050908972,0.11061589148739051
2010-03,0.02887209661522427,0.06529043073311297,0.13048116574701976
2010-04,0.058180006357381506,0.0657725803075251,0.12912818361434888
2010-05,0.05565563948252392,0.0631703574115014,0.1451281783083955
2010-06,0.0920637295222253,0.0536796205853424,0.1796011381057595
2010-07,0.07881104257926942,0.05303627596393147,0.18030364254474476
2010-08,0.06607530010339559,0.0463728393136794,0.1745298604484422
