Date,Nifty,Gold,Liquid
2000-09-12,1467.65,276.6,106.4351861050706
2000-09-13,1456.15,276.5,106.46533963069903
2000-09-14,1445.3,276.0,106.49550169894522
2000-09-15,1417.2,275.8,106.52567231222928
2000-09-16,1417.2,275.8,106.55548286496077
2000-09-17,1417.2,275.8,106.58530175999164
2000-09-18,1354.35,274.9,106.6151289996565
2000-09-19,1317.0,275.4,106.64496458629051
2000-09-20,1342.9,272.5,106.67480852222953
2000-09-21,1329.85,273.5,106.70466080981002
2000-09-22,1266.45,275.1,106.7345214513692
2000-09-23,1266.45,275.1,106.76414452121044
2000-09-24,1266.45,275.1,106.7937758126304
2000-09-25,1292.55,277.3,106.82341532791088
2000-09-26,1267.9,277.3,106.85306306933428
2000-09-27,1292.55,281.6,106.88271903918373
2000-09-28,1266.4,278.9,106.9123832397429
2000-09-29,1271.65,276.9,106.94205567329618
2000-09-30,1271.65,276.9,106.9713668793006
2000-10-01,1271.65,276.9,107.0006861190649
2000-10-02,1271.65,276.3,107.03001339479104
2000-10-03,1282.0,274.8,107.05934870868153
2000-10-04,1297.8,273.2,107.0886920629395
2000-10-05,1284.75,273.4,107.11804345976871
2000-10-06,1285.0,272.1,107.14740290137354
2000-10-07,1285.0,272.1,107.17553804804828
2000-10-08,1285.0,272.1,107.20368058255002
2000-10-09,1267.3,272.9,107.23183050681872
2000-10-10,1238.95,275.1,107.2599878227948
2000-10-11,1201.9,273.0,107.2881525324192
2000-10-12,1206.25,278.8,107.31632463763334
2000-10-13,1176.75,274.8,107.34450414037924
2000-10-14,1176.75,274.8,107.3736786120374
2000-10-15,1176.75,274.8,107.4028610128374
2000-10-16,1175.45,273.9,107.4320513449342
2000-10-17,1158.05,273.4,107.46124961048343
2000-10-18,1136.0,272.6,107.4904558116413
2000-10-19,1166.15,272.3,107.51966995056452
2000-10-20,1172.0,273.3,107.54889202941048
2000-10-21,1172.0,273.3,107.5773798156548
2000-10-22,1172.0,273.3,107.60587514780642
2000-10-23,1143.95,272.0,107.63437802786406
2000-10-24,1152.45,272.1,107.66288845782704
2000-10-25,1183.9,267.9,107.6914064396952
2000-10-26,1186.3,266.6,107.7199319754689
2000-10-27,1178.7,265.9,107.74846506714904
2000-10-28,1178.7,265.9,107.776510368999
2000-10-29,1178.7,265.9,107.80456297061843
2000-10-30,1167.15,265.8,107.83262287390735
2000-10-31,1172.75,266.4,107.86069008076628
2000-11-01,1200.8,265.4,107.88876459309624
2000-11-02,1224.85,265.9,107.9168464127987
2000-11-03,1242.05,266.1,107.94493554177568
2000-11-04,1242.05,266.1,107.97216487357076
2000-11-05,1242.05,266.1,107.99940107402074
2000-11-06,1240.25,266.0,108.02664414485824
2000-11-07,1246.75,265.4,108.05389408781632
2000-11-08,1266.8,266.1,108.08115090462852
2000-11-09,1269.95,266.9,108.10841459702878
2000-11-10,1239.55,265.5,108.13568516675146
2000-11-11,1239.55,265.5,108.16259051026954
2000-11-12,1239.55,265.5,108.18950254813194
2000-11-13,1208.05,265.3,108.21642128200428
2000-11-14,1242.85,265.4,108.24334671355264
2000-11-15,1247.05,265.6,108.2702788444434
2000-11-16,1233.25,266.3,108.29721767634352
2000-11-17,1236.0,266.2,108.3241632109202
2000-11-18,1236.0,266.2,108.35074299278688
2000-11-19,1236.0,266.2,108.3773292966038
2000-11-20,1237.6,266.8,108.4039221239713
2000-11-21,1235.0,266.1,108.43052147649006
2000-11-22,1222.35,266.7,108.45712735576116
2000-11-23,1216.0,266.7,108.48373976338614
2000-11-24,1225.2,266.7,108.51035870096683
2000-11-25,1225.2,266.7,108.53735726736625
2000-11-26,1225.2,266.7,108.56436255130484
2000-11-27,1252.9,270.3,108.59137455445403
2000-11-28,1272.75,269.8,108.61839327848566
2000-11-29,1264.75,269.6,108.64541872507188
2000-11-30,1268.15,273.3,108.6724508958854
2000-12-01,1276.2,271.9,108.69948979259928
2000-12-02,1276.2,271.9,108.72616166932616
2000-12-03,1276.2,271.9,108.75284009060088
2000-12-04,1275.6,273.8,108.77952505802924
2000-12-05,1284.65,273.3,108.80621657321754
2000-12-06,1298.55,277.3,108.8329146377724
2000-12-07,1302.5,276.1,108.85961925330082
2000-12-08,1313.7,275.1,108.88633042141026
2000-12-09,1313.7,275.1,108.91279874926408
2000-12-10,1313.7,275.1,108.93927351109706
2000-12-11,1332.15,273.1,108.96575470847316
2000-12-12,1333.35,273.2,108.99224234295676
2000-12-13,1354.3,271.2,109.0187364161126
2000-12-14,1349.35,271.5,109.04523692950582
