start,Strategy,XIRR,Worst wealth drop
1987-02,Equal-weight SIP,0.09314838938754012,-0.02701309448888889
1987-02,60/20/20 annual rebal,0.11526409023381669,-0.027144036471078103
1987-02,Risk-parity SIP,0.08054738582089037,-0.025958493707311403
1987-02,Max-Sharpe SIP,0.09157147440896278,-0.035426069253566506
1987-02,Optimized SIP,0.08618072544003887,-0.03108602058490806
1987-03,Equity SIP,0.17015014316796218,-0.08665699893757661
1987-03,Equal-weight SIP,0.09605397903818101,-0.02673736090502199
1987-03,60/20/20 annual rebal,0.11914038033674558,-0.026911990083374193
1987-03,Risk-parity SIP,0.08121934882463518,-0.02559026450981694
1987-03,Max-Sharpe SIP,0.09358160402751049,-0.03506799559283569
1987-03,Optimized SIP,0.08778500806266397,-0.030716033515207686
1987-04,Equity SIP,0.16720102373123516,-0.08520199549003937
1987-04,Equal-weight SIP,0.09387146296121561,-0.026461208755065524
1987-04,60/20/20 annual rebal,0.11684865997245429,-0.026611793326733246
1987-04,Risk-parity SIP,0.07965650210137484,-0.025217195364944822
1987-04,Max-Sharpe SIP,0.09106032225450497,-0.03470710591917103
1987-04,Optimized SIP,0.08566877010516677,-0.030345213771032276
1987-05,Equity SIP,0.15906036288854078,-0.08373008107696323
1987-05,Equal-weight SIP,0.08811723428469172,-0.02618282744192746
1987-05,60/20/20 annual rebal,0.11013229519662589,-0.026089698631209912
1987-05,Risk-parity SIP,0.07470603363224414,-0.02484118546248204
1987-05,Max-Sharpe SIP,0.08614795599631792,-0.03434361927424001
1987-05,Optimized SIP,0.08069707253092041,-0.0299716269788306
1987-06,Equity SIP,0.17373636069471224,-0.08216158087444758
1987-06,Equal-weight SIP,0.09629114068831938,-0.025883284746872404
1987-06,60/20/20 annual rebal,0.11927707129964332,-0.025810560443020547
1987-06,Risk-parity SIP,0.07931514243696365,-0.024449458217230657
1987-06,Max-Sharpe SIP,0.09200283901171913,-0.03396169612566591
1987-06,Optimized SIP,0.08613500706444294,-0.02958072235217646
1987-07,Equity SIP,0.18160575826559808,-0.08050443966741327
1987-07,Equal-weight SIP,0.10096278950555293,-0.025566361411571648
1987-07,60/20/20 annual rebal,0.12489910020474024,-0.0259237733565012
1987-07,Risk-parity SIP,0.08183993992624626,-0.024043731975335825
1987-07,Max-Sharpe SIP,0.095659398408189,-0.0335636054250712
1987-07,Optimized SIP,0.08934839823262375,-0.029174486765648155
1987-08,Equity SIP,0.1902237853328437,-0.07882559496366592
1987-08,Equal-weight SIP,0.10497014252769582,-0.02525102109839683
1987-08,60/20/20 annual rebal,0.12948694450259254,-0.025678650003205128
1987-08,Risk-parity SIP,0.08235098013840343,-0.02373148140591219
1987-08,Max-Sharpe SIP,0.09874257513777865,-0.03316333782422032
1987-08,Optimized SIP,0.09133961836698588,-0.028765230539888442
