Month,Nifty,Gold,Liquid
2017-03,0.12777868297364506,0.17222131702638363,0.6999999999999713
2017-04,0.12777868297364506,0.17222131702638363,0.6999999999999713
2017-05,0.12777868297364506,0.17222131702638363,0.6999999999999713
2017-06,0.12777868297364506,0.17222131702638363,0.6999999999999713
2017-07,0.12777868297364506,0.17222131702638363,0.6999999999999713
2017-08,0.12777868297364506,0.17222131702638363,0.6999999999999713
2017-09,0.12777868297364506,0.17222131702638363,0.6999999999999713
2017-10,0.12777868297364506,0.17222131702638363,0.6999999999999713
2017-11,0.12777868297364506,0.17222131702638363,0.6999999999999713
2017-12,0.12777868297364506,0.17222131702638363,0.6999999999999713
2018-01,0.12777868297364506,0.17222131702638363,0.6999999999999713
2018-02,0.13535070421039214,0.16464929577246318,0.7000000000171447
2018-03,0.13535070421039214,0.16464929577246318,0.7000000000171447
2018-04,0.13535070421039214,0.16464929577246318,0.7000000000171447
2018-05,0.13535070421039214,0.16464929577246318,0.7000000000171447
