Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
2013-01,10000.000000,3600000.000000,2772229.669959,7514538.631987,4710482.872217,14997251.174164,-0.002837,0.167085,0.510531,0.322384,0.184849,0.501061,0.314090,10000.000000,0.000000,10.000000
2013-02,10000.000000,3610000.000000,3685286.142227,7283483.715433,3979040.583667,14947810.441327,-0.003961,0.239995,0.487668,0.272337,0.246544,0.487261,0.266196,829433.822647,819433.822647,1648.867645
2013-03,10000.000000,3620000.000000,3785613.831355,7309609.830640,3902261.678138,14997485.340133,0.002652,0.239995,0.487668,0.272337,0.252417,0.487389,0.260194,10000.000000,0.000000,10.000000
2013-04,10000.000000,3630000.000000,3840646.185375,7454515.199256,3653952.388264,14949113.772895,-0.003889,0.239995,0.487668,0.272337,0.256915,0.498659,0.244426,10000.000000,0.000000,10.000000
2013-05,10000.000000,3640000.000000,4016325.026769,7351564.920815,3481737.385028,14849627.332612,-0.007319,0.239995,0.487668,0.272337,0.270466,0.495067,0.234466,10000.000000,0.000000,10.000000
2013-06,10000.000000,3650000.000000,3971428.877069,7123419.306879,3316407.476947,14411255.660895,-0.030174,0.239995,0.487668,0.272337,0.275578,0.494296,0.230126,10000.000000,0.000000,10.000000
2013-07,10000.000000,3660000.000000,4100675.272948,6963530.329154,3185224.917450,14249430.519552,-0.011915,0.239995,0.487668,0.272337,0.287778,0.488688,0.223533,10000.000000,0.000000,10.000000
2013-08,10000.000000,3670000.000000,4111027.743176,6882319.875902,3359207.671216,14352555.290293,0.006531,0.239995,0.487668,0.272337,0.286432,0.479519,0.234049,10000.000000,0.000000,10.000000
2013-09,10000.000000,3680000.000000,4160047.495918,6858386.461161,3359925.842523,14378359.799602,0.001100,0.239995,0.487668,0.272337,0.289327,0.476994,0.233679,10000.000000,0.000000,10.000000
2013-10,10000.000000,3690000.000000,4248135.629185,6989844.833479,3287828.140158,14525808.602822,0.009553,0.239995,0.487668,0.272337,0.292454,0.481202,0.226344,10000.000000,0.000000,10.000000
2013-11,10000.000000,3700000.000000,3622795.164094,7042133.834223,3834998.620813,14499927.619130,-0.002468,0.239995,0.487668,0.272337,0.249849,0.485667,0.264484,769615.941420,759615.941420,1529.231883
2013-12,10000.000000,3710000.000000,3677919.326682,6951749.473931,3680119.743374,14309788.543987,-0.013793,0.239995,0.487668,0.272337,0.257021,0.485804,0.257175,10000.000000,0.000000,10.000000
2014-01,10000.000000,3720000.000000,3713511.930884,6993670.416106,3755272.842940,14462455.189929,0.009963,0.239995,0.487668,0.272337,0.256769,0.483574,0.259657,10000.000000,0.000000,10.000000
2014-02,10000.000000,3730000.000000,4020455.030910,7712210.296140,2977598.350516,14710263.677566,0.016432,0.278197,0.524898,0.196904,0.273310,0.524274,0.202416,915581.680026,905581.680026,1821.163360
2014-03,10000.000000,3740000.000000,4138508.496140,7724579.597840,3060052.848289,14923140.942270,0.013782,0.278197,0.524898,0.196904,0.277322,0.517624,0.205054,10000.000000,0.000000,10.000000
2014-04,10000.000000,3750000.000000,4148079.028011,7757566.302720,2973013.437636,14878658.768366,-0.003648,0.278197,0.524898,0.196904,0.278794,0.521389,0.199817,10000.000000,0.000000,10.000000
2014-05,10000.000000,3760000.000000,4211626.221798,7886575.967274,2952397.352457,15050599.541528,0.010877,0.278197,0.524898,0.196904,0.279831,0.524004,0.196165,10000.000000,0.000000,10.000000
2014-06,10000.000000,3770000.000000,4346240.302981,7881848.708626,2933577.803096,15161666.814703,0.006711,0.278197,0.524898,0.196904,0.286660,0.519854,0.193486,10000.000000,0.000000,10.000000
2014-07,10000.000000,3780000.000000,4411249.414046,7946223.461634,3011041.020224,15368513.895904,0.012975,0.278197,0.524898,0.196904,0.287032,0.517046,0.195923,10000.000000,0.000000,10.000000
2014-08,10000.000000,3790000.000000,4392412.684358,8055578.747194,2975469.409880,15423460.841432,0.002923,0.278197,0.524898,0.196904,0.284788,0.522294,0.192918,10000.000000,0.000000,10.000000
2014-09,10000.000000,3800000.000000,4470508.378670,7998672.047891,2847770.318390,15316950.744951,-0.007549,0.278197,0.524898,0.196904,0.291867,0.522210,0.185923,10000.000000,0.000000,10.000000
2014-10,10000.000000,3810000.000000,4352189.779633,8180019.056381,2820997.701870,15353206.537884,0.001713,0.278197,0.524898,0.196904,0.283471,0.532789,0.183740,10000.000000,0.000000,10.000000
2014-11,10000.000000,3820000.000000,4600507.588340,8174075.123790,2722111.398680,15496694.110810,0.008689,0.278197,0.524898,0.196904,0.296870,0.527472,0.175658,10000.000000,0.000000,10.000000
2014-12,10000.000000,3830000.000000,4629666.668287,8276862.704418,2792564.829914,15699094.202619,0.012408,0.278197,0.524898,0.196904,0.294900,0.527219,0.177881,10000.000000,0.000000,10.000000
2015-01,10000.000000,3840000.000000,4578272.324212,8538160.307881,2919239.266523,16035671.898616,0.020789,0.278197,0.524898,0.196904,0.285505,0.532448,0.182047,10000.000000,0.000000,10.000000
2015-02,10000.000000,3850000.000000,4707715.370392,8484923.850690,2863232.898501,16055872.119583,0.000636,0.275900,0.561821,0.162279,0.293208,0.528462,0.178329,10000.000000,0.000000,10.000000
2015-03,10000.000000,3860000.000000,4710318.770972,8463384.236136,2751222.087693,15924925.094802,-0.008773,0.275900,0.561821,0.162279,0.295783,0.531455,0.172762,10000.000000,0.000000,10.000000
2015-04,10000.000000,3870000.000000,4751691.700151,8563888.671304,2797890.770291,16113471.141746,0.011205,0.275900,0.561821,0.162279,0.294889,0.531474,0.173637,10000.000000,0.000000,10.000000
2015-05,10000.000000,3880000.000000,4798203.224357,8390104.478922,2797889.035000,15986196.738280,-0.008514,0.275900,0.561821,0.162279,0.300147,0.524834,0.175019,10000.000000,0.000000,10.000000
2015-06,10000.000000,3890000.000000,4777304.062788,8297283.189077,2758217.496978,15832804.748844,-0.010214,0.275900,0.561821,0.162279,0.301735,0.524056,0.174209,10000.000000,0.000000,10.000000
2015-07,10000.000000,3900000.000000,4773496.882524,8352901.100621,2632205.896875,15758603.880020,-0.005315,0.275900,0.561821,0.162279,0.302914,0.530053,0.167033,10000.000000,0.000000,10.000000
2015-08,10000.000000,3910000.000000,4657765.413484,8490447.436465,2608869.079076,15757081.929026,-0.000731,0.275900,0.561821,0.162279,0.295598,0.538834,0.165568,10000.000000,0.000000,10.000000
2015-09,10000.000000,3920000.000000,4447832.680459,8515813.649567,2625202.012986,15588848.343011,-0.011304,0.275900,0.561821,0.162279,0.285321,0.546276,0.168403,10000.000000,0.000000,10.000000
2015-10,10000.000000,3930000.000000,4639847.935712,8617305.963714,2704539.711959,15961693.611385,0.023261,0.275900,0.561821,0.162279,0.290686,0.539874,0.169439,10000.000000,0.000000,10.000000
2015-11,10000.000000,3940000.000000,4775907.094238,8497286.452437,2534191.799025,15807385.345700,-0.010287,0.275900,0.561821,0.162279,0.302131,0.537552,0.160317,10000.000000,0.000000,10.000000
2015-12,10000.000000,3950000.000000,4723227.285660,8537581.523385,2511621.732320,15772430.541366,-0.002842,0.275900,0.561821,0.162279,0.299461,0.541298,0.159241,10000.000000,0.000000,10.000000
2016-01,10000.000000,3960000.000000,4420011.147129,8676501.717331,2564307.355931,15660820.220391,-0.007705,0.275900,0.561821,0.162279,0.282234,0.554026,0.163740,10000.000000,0.000000,10.000000
