Month,Instalment,Total invested,Nifty value,Gold value,Liquid value,Portfolio value,Monthly return (TWR),Nifty target weight,Gold target weight,Liquid target weight,Nifty actual weight,Gold actual weight,Liquid actual weight,Bought,Sold,Costs
2013-03,10000.000000,380000.000000,47823.553433,83847.288223,306729.262097,438400.103753,0.007374,0.109977,0.190023,0.700000,0.109087,0.191257,0.699656,10000.000000,0.000000,10.000000
2013-04,10000.000000,390000.000000,51515.177148,77393.511074,315892.042334,444800.730555,-0.008027,0.109977,0.190023,0.700000,0.115816,0.173996,0.710188,10000.000000,0.000000,10.000000
2013-05,10000.000000,400000.000000,52054.136752,84901.818173,320037.762264,456993.717189,0.004822,0.109977,0.190023,0.700000,0.113906,0.185783,0.700311,10000.000000,0.000000,10.000000
2013-06,10000.000000,410000.000000,50859.382266,81888.483841,328436.792019,461184.658126,-0.012439,0.109977,0.190023,0.700000,0.110280,0.177561,0.712159,10000.000000,0.000000,10.000000
2013-07,10000.000000,420000.000000,50985.845317,98085.273991,332150.301220,481221.420529,0.021301,0.109977,0.190023,0.700000,0.105951,0.203826,0.690223,10000.000000,0.000000,10.000000
2013-08,10000.000000,430000.000000,50606.401504,112768.810624,343346.191788,506721.403916,0.031554,0.109977,0.190023,0.700000,0.099870,0.222546,0.677584,10000.000000,0.000000,10.000000
2013-09,10000.000000,440000.000000,55752.758753,102079.628875,353927.969007,511760.356634,-0.009601,0.109977,0.190023,0.700000,0.108943,0.199468,0.691589,10000.000000,0.000000,10.000000
2013-10,10000.000000,450000.000000,62677.839824,100245.538470,365459.427890,528382.806184,0.012693,0.109977,0.190023,0.700000,0.118622,0.189721,0.691657,10000.000000,0.000000,10.000000
2013-11,10000.000000,460000.000000,61520.225161,97354.263371,376635.358787,535509.847319,-0.005336,0.109977,0.190023,0.700000,0.114882,0.181797,0.703321,10000.000000,0.000000,10.000000
2013-12,10000.000000,470000.000000,62859.733264,98122.261609,383991.774355,544973.769228,-0.000983,0.109977,0.190023,0.700000,0.115345,0.180050,0.704606,10000.000000,0.000000,10.000000
2014-01,10000.000000,480000.000000,60787.869838,108810.952427,390666.949372,560265.771636,0.009536,0.109977,0.190023,0.700000,0.108498,0.194213,0.697289,10000.000000,0.000000,10.000000
