Month,Instalment,Total invested,Nifty value,Gold value,Liquid value,Portfolio value,Monthly return (TWR),Nifty target weight,Gold target weight,Liquid target weight,Nifty actual weight,Gold actual weight,Liquid actual weight,Bought,Sold,Costs
2011-07,10000.000000,180000.000000,18658.179527,41315.707394,135335.241018,195309.127939,0.017198,0.100000,0.200000,0.700000,0.095532,0.211540,0.692928,10000.000000,0.000000,10.000000
2011-08,10000.000000,190000.000000,18708.476172,48060.639521,144524.075711,211293.191404,0.029147,0.100000,0.200000,0.700000,0.088543,0.227459,0.683998,10000.000000,0.000000,10.000000
2011-09,10000.000000,200000.000000,20964.332788,45594.778720,153092.793628,219651.905136,-0.007417,0.100000,0.200000,0.700000,0.095443,0.207577,0.696979,10000.000000,0.000000,10.000000
2011-10,10000.000000,210000.000000,24769.945877,48463.162865,161917.561694,235150.670436,0.023944,0.100000,0.200000,0.700000,0.105336,0.206094,0.688569,10000.000000,0.000000,10.000000
2011-11,10000.000000,220000.000000,22496.088175,53252.086759,172601.721449,248349.896383,0.013050,0.100000,0.200000,0.700000,0.090582,0.214424,0.694994,10000.000000,0.000000,10.000000
2011-12,10000.000000,230000.000000,24314.306006,48481.303620,181023.600764,253819.210390,-0.017537,0.100000,0.200000,0.700000,0.095794,0.191007,0.713199,10000.000000,0.000000,10.000000
2012-01,10000.000000,240000.000000,29689.501663,54771.377081,186018.936946,270479.815690,0.025247,0.100000,0.200000,0.700000,0.109766,0.202497,0.687737,10000.000000,0.000000,10.000000
2012-02,10000.000000,250000.000000,30782.406156,54362.099695,196258.664359,281403.170210,0.003292,0.100000,0.200000,0.700000,0.109389,0.193182,0.697429,10000.000000,0.000000,10.000000
2012-03,10000.000000,260000.000000,30302.264567,58584.168792,204446.376220,293332.809579,0.006622,0.100000,0.200000,0.700000,0.103303,0.199719,0.696978,10000.000000,0.000000,10.000000
2012-04,10000.000000,270000.000000,30093.639311,62473.553673,213839.725575,306406.918559,0.010134,0.100000,0.200000,0.700000,0.098215,0.203891,0.697895,10000.000000,0.000000,10.000000
2012-05,10000.000000,280000.000000,29721.261854,63690.652879,223065.941005,316477.855738,0.000224,0.100000,0.200000,0.700000,0.093913,0.201248,0.704839,10000.000000,0.000000,10.000000
2012-06,10000.000000,290000.000000,35033.410877,66001.222219,230087.672250,331122.305346,0.014226,0.100000,0.200000,0.700000,0.105802,0.199326,0.694872,10000.000000,0.000000,10.000000
2012-07,10000.000000,300000.000000,34739.184190,68451.364872,239712.909594,342903.458656,0.005221,0.100000,0.200000,0.700000,0.101309,0.199623,0.699068,10000.000000,0.000000,10.000000
2012-08,10000.000000,310000.000000,35526.664952,73729.887042,248759.122042,358015.674036,0.014486,0.100000,0.200000,0.700000,0.099232,0.205940,0.694827,10000.000000,0.000000,10.000000
2012-09,10000.000000,320000.000000,39935.954992,73868.922090,259223.518731,373028.395813,0.013621,0.100000,0.200000,0.700000,0.107059,0.198025,0.694916,10000.000000,0.000000,10.000000
2012-10,10000.000000,330000.000000,39392.801910,75093.177269,268705.264850,383191.244030,0.000425,0.100000,0.200000,0.700000,0.102802,0.195968,0.701230,10000.000000,0.000000,10.000000
2012-11,10000.000000,340000.000000,41258.019652,78987.295518,277032.745780,397278.060950,0.010394,0.100000,0.200000,0.700000,0.103852,0.198821,0.697327,10000.000000,0.000000,10.000000
2012-12,10000.000000,350000.000000,41478.872788,80457.049962,286665.274095,408601.196845,0.003249,0.100000,0.200000,0.700000,0.101514,0.196909,0.701577,10000.000000,0.000000,10.000000
2013-01,10000.000000,360000.000000,42823.509013,80698.090489,295020.358461,418541.957963,-0.000142,0.100000,0.200000,0.700000,0.102316,0.192808,0.704876,10000.000000,0.000000,10.000000
2013-02,10000.000000,370000.000000,41796.507226,81625.775032,301814.809873,425237.092131,-0.007712,0.103270,0.196730,0.700000,0.098290,0.191954,0.709757,10000.000000,0.000000,10.000000
2013-03,10000.000000,380000.000000,44911.536317,86816.159717,306761.714572,438489.410605,0.007473,0.103270,0.196730,0.700000,0.102423,0.197989,0.699588,10000.000000,0.000000,10.000000
2013-04,10000.000000,390000.000000,48382.890540,80141.348060,315954.959254,444479.197854,-0.008942,0.103270,0.196730,0.700000,0.108853,0.180304,0.710843,10000.000000,0.000000,10.000000
2013-05,10000.000000,400000.000000,48889.078926,87880.009452,319857.097851,456626.186229,0.004724,0.103270,0.196730,0.700000,0.107066,0.192455,0.700479,10000.000000,0.000000,10.000000
2013-06,10000.000000,410000.000000,47766.968524,84713.670148,328179.818446,460660.457117,-0.012785,0.103270,0.196730,0.700000,0.103692,0.183896,0.712412,10000.000000,0.000000,10.000000
2013-07,10000.000000,420000.000000,47822.943925,101434.565546,331780.770475,481038.279946,0.022049,0.103270,0.196730,0.700000,0.099416,0.210866,0.689718,10000.000000,0.000000,10.000000
2013-08,10000.000000,430000.000000,47479.932677,116619.496082,343088.509381,507187.938140,0.032889,0.103270,0.196730,0.700000,0.093614,0.229933,0.676452,10000.000000,0.000000,10.000000
2013-09,10000.000000,440000.000000,52318.259396,105565.315636,353816.228487,511699.803519,-0.010611,0.103270,0.196730,0.700000,0.102244,0.206303,0.691453,10000.000000,0.000000,10.000000
2013-10,10000.000000,450000.000000,58841.498114,103668.596789,365402.318717,527912.413619,0.011908,0.103270,0.196730,0.700000,0.111461,0.196375,0.692165,10000.000000,0.000000,10.000000
2013-11,10000.000000,460000.000000,57754.736987,100716.889374,376484.910948,534956.537308,-0.005495,0.103270,0.196730,0.700000,0.107962,0.188271,0.703767,10000.000000,0.000000,10.000000
2013-12,10000.000000,470000.000000,59012.256289,101509.483041,383651.904810,544173.644140,-0.001437,0.103270,0.196730,0.700000,0.108444,0.186539,0.705017,10000.000000,0.000000,10.000000
2014-01,10000.000000,480000.000000,57067.204624,112524.505620,390150.010562,559741.720806,0.010048,0.103270,0.196730,0.700000,0.101953,0.201029,0.697018,10000.000000,0.000000,10.000000
2014-02,10000.000000,490000.000000,63053.978992,118318.697814,398858.727427,580231.404234,0.018411,0.110480,0.189520,0.700000,0.108670,0.203916,0.687413,10000.000000,0.000000,10.000000
2014-03,10000.000000,500000.000000,68812.844330,111621.205956,410721.044650,591155.094935,0.001565,0.110480,0.189520,0.700000,0.116404,0.188819,0.694777,10000.000000,0.000000,10.000000
2014-04,10000.000000,510000.000000,68806.186459,114952.845363,421920.417669,605679.449491,0.007526,0.110480,0.189520,0.700000,0.113602,0.189792,0.696607,10000.000000,0.000000,10.000000
2014-05,10000.000000,520000.000000,74361.798596,110113.043355,433529.075242,618003.917194,0.003775,0.110480,0.189520,0.700000,0.120326,0.178175,0.701499,10000.000000,0.000000,10.000000
2014-06,10000.000000,530000.000000,78363.901464,125008.778728,440666.988016,644039.668208,0.025534,0.110480,0.189520,0.700000,0.121676,0.194101,0.684223,10000.000000,0.000000,10.000000
2014-07,10000.000000,540000.000000,79579.587545,122289.786879,453953.440375,655822.814798,0.002726,0.110480,0.189520,0.700000,0.121343,0.186468,0.692189,10000.000000,0.000000,10.000000
2014-08,10000.000000,550000.000000,82066.495923,127152.214810,464912.694750,674131.405483,0.012479,0.110480,0.189520,0.700000,0.121737,0.188616,0.689647,10000.000000,0.000000,10.000000
2014-09,10000.000000,560000.000000,82262.013432,121900.877405,476739.056789,680901.947626,-0.004721,0.110480,0.189520,0.700000,0.120813,0.179029,0.700158,10000.000000,0.000000,10.000000
2014-10,10000.000000,570000.000000,86041.182237,122404.694775,484533.926795,692979.803807,0.003007,0.110480,0.189520,0.700000,0.124161,0.176635,0.699204,10000.000000,0.000000,10.000000
2014-11,10000.000000,580000.000000,88883.754430,130312.462692,491987.838554,711184.055676,0.011671,0.110480,0.189520,0.700000,0.124980,0.183233,0.691787,10000.000000,0.000000,10.000000
2014-12,10000.000000,590000.000000,85816.577139,136420.488234,502188.647770,724425.713142,0.004495,0.110480,0.189520,0.700000,0.118462,0.188315,0.693223,10000.000000,0.000000,10.000000
2015-01,10000.000000,600000.000000,91360.228830,146970.934474,513910.884830,752242.048134,0.024259,0.110480,0.189520,0.700000,0.121451,0.195377,0.683172,10000.000000,0.000000,10.000000
2015-02,10000.000000,610000.000000,92422.007192,138610.498294,527249.054831,758281.560318,-0.005196,0.119530,0.180470,0.700000,0.121883,0.182796,0.695321,10000.000000,0.000000,10.000000
2015-03,10000.000000,620000.000000,88255.399500,136633.753076,541000.554772,765889.707348,-0.003113,0.119530,0.180470,0.700000,0.115233,0.178399,0.706369,10000.000000,0.000000,10.000000
2015-04,10000.000000,630000.000000,89460.912231,142780.370941,546674.919848,778916.203020,0.003901,0.119530,0.180470,0.700000,0.114853,0.183306,0.701840,10000.000000,0.000000,10.000000
2015-05,10000.000000,640000.000000,97112.151119,143965.896204,555749.746477,796827.793800,0.010028,0.119530,0.180470,0.700000,0.121873,0.180674,0.697453,10000.000000,0.000000,10.000000
2015-06,10000.000000,650000.000000,96465.968623,143031.837708,567786.330635,807284.136966,0.000566,0.119530,0.180470,0.700000,0.119494,0.177177,0.703329,10000.000000,0.000000,10.000000
2015-07,10000.000000,660000.000000,99713.108261,138446.254515,575759.657114,813919.019890,-0.004117,0.119530,0.180470,0.700000,0.122510,0.170098,0.707392,10000.000000,0.000000,10.000000
2015-08,10000.000000,670000.000000,93257.843017,158629.515445,580265.868362,832153.226824,0.009994,0.119530,0.180470,0.700000,0.112068,0.190625,0.697307,10000.000000,0.000000,10.000000
2015-09,10000.000000,680000.000000,97536.286116,154110.426067,589401.199808,841047.911992,-0.001312,0.119530,0.180470,0.700000,0.115970,0.183236,0.700794,10000.000000,0.000000,10.000000
2015-10,10000.000000,690000.000000,103119.709449,157488.365112,599000.505492,859608.580053,0.010059,0.119530,0.180470,0.700000,0.119961,0.183209,0.696829,10000.000000,0.000000,10.000000
2015-11,10000.000000,700000.000000,102330.973454,149301.456590,611786.542634,863418.972678,-0.007118,0.119530,0.180470,0.700000,0.118518,0.172919,0.708563,10000.000000,0.000000,10.000000
2015-12,10000.000000,710000.000000,104579.214322,155990.451308,615528.504788,876098.170418,0.003067,0.119530,0.180470,0.700000,0.119369,0.178051,0.702579,10000.000000,0.000000,10.000000
2016-01,10000.000000,720000.000000,100926.630369,172663.092465,624096.053189,897685.776024,0.013077,0.119530,0.180470,0.700000,0.112430,0.192342,0.695228,10000.000000,0.000000,10.000000
2016-02,10000.000000,730000.000000,97721.584019,191867.323481,633038.452303,922627.359804,0.016461,0.122372,0.177628,0.700000,0.105917,0.207958,0.686126,10000.000000,0.000000,10.000000
2016-03,10000.000000,740000.000000,113358.080841,186533.217256,642451.836583,942343.134680,0.010418,0.122372,0.177628,0.700000,0.120294,0.197946,0.681760,10000.000000,0.000000,10.000000
2016-04,10000.000000,750000.000000,116292.186780,195230.882487,654992.388061,966515.457328,0.014882,0.122372,0.177628,0.700000,0.120321,0.201995,0.677684,10000.000000,0.000000,10.000000
2016-05,10000.000000,760000.000000,122063.925450,186210.562191,667849.343683,976123.831323,-0.000401,0.122372,0.177628,0.700000,0.125050,0.190765,0.684185,10000.000000,0.000000,10.000000
