Month,Instalment,Total invested,Equity value,Bonds value,Gold value,Portfolio value,Monthly return (TWR),Equity target weight,Bonds target weight,Gold target weight,Equity actual weight,Bonds actual weight,Gold actual weight,Bought,Sold,Costs
2005-03,10000.000000,2660000.000000,5003045.607141,1648319.464169,1636782.204610,8288147.275920,-0.001159,0.600000,0.200000,0.200000,0.603639,0.198877,0.197485,10000.000000,0.000000,10.000000
2005-04,10000.000000,2670000.000000,4888375.914951,1677602.240222,1619900.268789,8185878.423961,-0.013529,0.600000,0.200000,0.200000,0.597172,0.204939,0.197890,10000.000000,0.000000,10.000000
2005-05,10000.000000,2680000.000000,4959752.411902,1712769.758470,1595433.743033,8267955.913405,0.008794,0.600000,0.200000,0.200000,0.599876,0.207158,0.192966,10000.000000,0.000000,10.000000
2005-06,10000.000000,2690000.000000,5074034.296194,1740177.354634,1631500.257546,8445711.908374,0.020265,0.600000,0.200000,0.200000,0.600782,0.206043,0.193175,10000.000000,0.000000,10.000000
2005-07,10000.000000,2700000.000000,5171864.582575,1722736.781793,1606968.189358,8501569.553726,0.005423,0.600000,0.200000,0.200000,0.608342,0.202637,0.189020,10000.000000,0.000000,10.000000
2005-08,10000.000000,2710000.000000,5193910.792612,1719676.850047,1662092.548089,8575680.190748,0.007532,0.600000,0.200000,0.200000,0.605656,0.200529,0.193815,10000.000000,0.000000,10.000000
2005-09,10000.000000,2720000.000000,5214448.349676,1736095.093972,1732477.894523,8683021.338172,0.011338,0.600000,0.200000,0.200000,0.600534,0.199941,0.199525,10000.000000,0.000000,10.000000
2005-10,10000.000000,2730000.000000,5083446.452255,1708277.150377,1787727.344710,8579450.947342,-0.013065,0.600000,0.200000,0.200000,0.592514,0.199113,0.208373,10000.000000,0.000000,10.000000
2005-11,10000.000000,2740000.000000,5291060.851069,1705803.679042,1816380.749019,8813245.279130,0.026055,0.600000,0.200000,0.200000,0.600353,0.193550,0.206097,10000.000000,0.000000,10.000000
2005-12,10000.000000,2750000.000000,5410630.642613,1723755.173455,1944178.471691,9078564.287759,0.028937,0.600000,0.200000,0.200000,0.595979,0.189871,0.214150,10000.000000,0.000000,10.000000
2006-01,10000.000000,2760000.000000,5532961.065400,1831663.719586,1960220.993834,9324845.778820,0.025998,0.600000,0.200000,0.200000,0.593357,0.196428,0.210215,138465.614139,128465.614139,266.931228
2006-02,10000.000000,2770000.000000,5538033.449627,1818679.400151,1980057.247141,9336770.096918,0.000206,0.600000,0.200000,0.200000,0.593142,0.194787,0.212071,10000.000000,0.000000,10.000000
2006-03,10000.000000,2780000.000000,5626419.417808,1806181.181939,1989197.660415,9421798.260162,0.008027,0.600000,0.200000,0.200000,0.597170,0.191702,0.211127,10000.000000,0.000000,10.000000
2006-04,10000.000000,2790000.000000,5677378.748661,1777465.640326,2184237.855899,9639082.244886,0.021977,0.600000,0.200000,0.200000,0.588996,0.184402,0.226602,10000.000000,0.000000,10.000000
2006-05,10000.000000,2800000.000000,5638665.401670,1770411.646019,2415235.722874,9824312.770562,0.018160,0.600000,0.200000,0.200000,0.573950,0.180207,0.245843,10000.000000,0.000000,10.000000
